1	1.	A and A Laboratory, 3643 N. Tripp Ave.,	Joab K. Aronson, Director of Research. 1 biologist, 1 doctor of medicine; additional personnel 3.
7	2.	A. C. A. Laboratories (Audio Corporation	Leon Braun, Director of Research and Technical Personnel Director. 1 engineer, 1 physicist; other technical personnel 6; additional personnel 3.
12	3.	ACF Industries, Inc., 30 Church St., New York, N. Y.	Jerry M. Gruitch, Director of Research and Development; L. G. Lawrence, Supervisor (St. Charles); George E. Reed, Manager, General Laboratories (Berwick). 4 chemists, 15 engineers, 10 metallurgists, 1 physicist; other technical personnel 18; additional personnel 40. | J. G. Reid, Jr., General Manager; E. C. Parsons, Manager of Personnel. 2 chemists, 32 engineers, 5 mathematicians, 3 physicists; other technical personnel 44; additional personnel 38. | Robert Young, Vice President; M. L. Bond (Electronics Department), S. B. Blodgett (Mechanical-Optical Department), Directors of Research. 40 engineers,  1 mathematician, 1 physicist; other technical personnel 29; additional personnel 9.
25	4.	A-L Special Design Products, Inc. (Alspec),	Charles Nuebling, Director of Engineering; Walter H. Winchell, Chief Engineer and Technical Personnel Director. 7 engineers, 2 mathematicians, 1 metallurgist,  2 physicists; other technical personnel 6; additional personnel 12.
30	5.	A-P Controls Corporation, 2450 N. 32nd St.,	A. L. Topp, Director of Research and Technical Personnel Director. 3 chemists, 12 engineers, 2 metallurgists; other technical personnel 4.
35	6.	A. R. F. Products, Inc., 7627 Lake St., River	John J. Pakan, Vice President; Julius J. Hupert, Director of Research. 12 engineers; other technical personnel 11.
41	7.	Abbe Engineering Company, 50 Church St.,	E. J. Beach, Vice President  and Director of Research. 2 engineers; other technical personnel 1; additional personnel 2.
48	8.	Abbott Laboratories, North Chicago, Ill. (C/>)	Elmer B. Vliet, Vice President and Scientific Administrator; Robert D. Coghill, Director of Research; Marlin T. Leffler, Richard K. Richards, Associate Directors of Research; George R. Hazel, Medical Director; Norman A. Hansen, Director of Development; Frederick J. Kirchmeyer, Director of New Product Coordination; Edward J. Matson, Director of Scientific Relations. 31 bacteriologists, 49 biologists, 98 chemists, 9 doctors of medicine, 12 engineers, 1 mathematician, 16 pharmacists, 1 physicist; other technical personnel 54; additional personnel 58.
52	9.	Abrams Aerial Survey Corporation, 606 E.	William S. Karr, Vice President ; Elmer K. Kerkela, Production Manager and Technical Personnel Director. 3 engineers, 2 foresters, 2 geologists, 3 photo-grammetrists: other technical personnel 40; additional personnel 10.
58	10.	Abrams Instrument Corporation, 606 E.	Arthur Decair, Director of Research; Howard Brunette, Personnel Director; Edward Bintz, Superintendent 18 engineers; other technical personnel 6; additional personnel 7.
63	11.	Ace Engineering Company, 1435 W. 15th	A. Eckstein, Director. 2 engineers ; other technical personnel 4.
68	12.	Ace Engineering and Machine Company,	Richard B. Schulz, Director of Research and Technical Personnel Director. 3 engineers; other technical personnel 2; additional personnel 1.
74	13.	Ace Glass, Inc., 1938 Northwest Blvd.,	Charles M. De Woody, Director of Research and Development. 1 chemist, 2 engineers; other technical personnel 2.
79	14.	Aceto Chemical Company, Inc., 40-40 Lawrence St., Flushing 54, N. Y. (Cct)	Seymour Mann, President and Director of Research; A. J. Frankel, Technical Personnel Director. 1 chemist, 1 engineer; other technical personnel 2; additional personnel 1.
82	15.	Acheson Colloids Company, Division, Acheson Industries, Inc., Port Huron, Mich. {Op)	Harold J. Dawe, Technical Director. 5 chemists; other technical personnel 4; additional personnel 2.
86	16.	Acheson Dispersed Pigments Company,	W. F. Polfus, Director of Product Research. 2 chemists, 2 engineers; other technical personnel 1; additional personnel 1.
94	17.	Acme Battery Corporation, 59 Pearl St,	Matthew Orlando, Secretary and Director of Research; Aaron Goldstein, Technical Personnel Director. 1 chemist, 2 engineers; additional personnel 2.
99	18.	Acme Electric Corporation, Cuba, N. Y.	
103	19.	Acme Industries, Inc., 600 N.	Lew R. Smith, Director of Research; E. Beauchamp-Nobbs, Technical Personnel Director. 9 engineers.
108	20.	Acme Protection Equipment Company,	G. M. Glidden, General Manager; L. N. Rodenhouse, Technical Personnel Director. 1 chemist, 1 engineer; additional personnel 1.
113	21.	Acme Steel Company, Riverdale Station,	W. F. Hinkle, Vice President Engineering, and Technical Personnel Director. 5 engineers; other technical personnel 3; additional personnel 2.
122	22.	Acme Wire Company, The, P. O. Drawer M, Hamden Branch, New Haven, Conn. (C/>)	Norman E. Benson, Director of Mechanical and Electronic Research; Kenneth M. MacKay, Director of Chemical Research; Herbert C. Hume, Technical Personnel Director. 2 chemists, 4 engineers; other technical personnel 5; additional personnel 12.
127	23.	Adair Engineering Company, George P., 1610 Eye St., N. W., Washington 6, D. C. (Ifct)	George P. Adair, Senior Partner and Director of Research. 2 engineers; other technical personnel 2; additional personnel 1.
131	24.	Adam Laboratory, 567 1st Ave., New York	Elisabeth Adam Weiss, Director of Research. 1 bacteriologist, 1 biologist, 1 chemist, 1 doctor of medicine.
135	25.	Adams Company, S. G., 920 Olive St, St.	Stephen Adams, Jr., .Vice President and Director of Research. 2 engineers.
140	26.	Adams Manufacturing Company, J. D., 217	M. K. Skinner, Director of Research. 1 chemist, 2 metallurgists, 1 photographer.
145	27.	Addressograph-Multigraph Corporation, 1200	C. S. Margach, Director of Research and Methods Division; C. L. Co-megys, Assistant Director. 3 chemists, 8 engineers, 1 metallurgist; additional personnel 16.
150	28.	Adhesive Products Corporation, 1660 Boone	J. E. Conrad, Research Director. 4 chemists, 2 engineers.
156	29.	Adhesive Products, Inc., The, 520 E. Shore	W. F. Harrison, Vice President and General Manager; H. E. Carlson, Director of Research. 4 chemists, 1 engineer; other technical personnel 2.
162	30.	Adolph’s Food Products Manufacturing	H. L. Kravitz, Technical Director; M. P. Masure, Technical Personnel Director. 1 bacteriologist, 4 chemists, 1 doctor of medicine, 3 food technologists; other tech  nical personnel 1; additional personnel 2.
169	31.	Advance Electronics Company, Inc^ 451	Y. P. Yu, President and Director of Research. 2 engineers, 1 physicist; other technical personnel 3; additional personnel 10.
173	32.	Advance Solvents & Chemical Corporation,	G. P. Mack, Vice President, Research; Stanley Longman, Vice President and Technical Personnel Director; E. Parker, Director of Research. 10 chemists; other technical personnel 4.
178	33.	Aeroon, Inc., 560 Punahou St., Altadena,	A. J. A. Morgan, President and Director of Research. 2 mathematicians; other technical personnel variable; additional personnel 2.
182	34.	Aerial Products, Inc., Blue Ball Rd., Elkton, Md.	(C/c)	Joseph Ackerman, Jr. Technical Director. 2 chemists, 2 engineers; others 6; additional personnel 2.
186	35.	Aero Design & Engineering Company,	T. R. Smith, Vice President and Director of Research. 12 engineers; other technical personnel 4; additional personnel 3.
191	36.	Aero Electronics Company, 1512 N. Wells	B. S. Maximoff, President and Director of Research; T. A. Bcresney, Technical Personnel Director. 5 engineers, 1 mathematician, 1 physicist; other technical personnel 7; additional personnel 5.
195	37.	Aero Medical Products, Inc., 19101 Van	Allan M. Russell, President and Director of Research. Others 1; additional personnel 1.
199	38.	Aero Research Instrument Company, Inc.,	M. D. Scadron, Director of Research and Technical Personnel Director. 3 engineers, 1 mathematician; additional personnel 7.
205	39.	Aero Service Corporation, 210 E. Courtland	2 chemists, 10 engineers, 2 geologists, 2 mathematicians, 2 physicists; other technical personnel 6; additional personnel 5.
210	40.	Aero Supply Manufacturing Company, Inc.,	George F. Hagger, Director of Engineering. 1 biologist, 13 engineers, 1 physicist; additional personnel 13.
216	41.	Aerolux Lights Corporation, 653 11th Ave.,	P. J. Kayott, President and  Director of Research. 5 research engineers.
